name,amenity,country,iso3,source,latitude,longitude,operator,addr_city,building
Ecole Taombila A B,school,Burkina Faso,BFA,OSM,12.40437,-1.53858,,,
Ecole primaire ATA,school,Burkina Faso,BFA,OSM,12.40696,-1.53357,,,
École primaire Pella A,school,Burkina Faso,BFA,OSM,12.58463,-2.03551,,,
Ecole Primaire Toungouena,school,Burkina Faso,BFA,OSM,10.63134,-4.74328,,,
Ecole Primaire Franco-Arabe,school,Burkina Faso,BFA,OSM,10.63909,-4.74905,,,
Ecole Primaire Flantama Nord,school,Burkina Faso,BFA,OSM,10.64206,-4.75354,,,
Ecole Primaire Flantama Centre,school,Burkina Faso,BFA,OSM,10.63688,-4.75154,,,
Ecole Primaire Chauvigny,school,Burkina Faso,BFA,OSM,10.63225,-4.75096,,,
Lycée Technique,school,Burkina Faso,BFA,OSM,12.25629,-2.32707,,,
collège,school,Burkina Faso,BFA,OSM,12.57645,-3.29582,,,
Formation professionnelle des jeunes agriculteurs,college,Burkina Faso,BFA,OSM,14.07738,-0.0538,,,
Lycée Municipal Jaque Toula de Banfora,school,Burkina Faso,BFA,OSM,10.62881,-4.74604,,,
Lyceé Yadega,school,Burkina Faso,BFA,OSM,13.58075,-2.42494,,,
Ecole Primaire Centre A,school,Burkina Faso,BFA,OSM,10.64104,-4.76329,,,
Université Norbert Zongo,university,Burkina Faso,BFA,OSM,12.237,-2.39874,,,
St. Viateur,school,Burkina Faso,BFA,OSM,10.63579,-4.73335,,,
Lycée Provinvial Lompolo Kone,school,Burkina Faso,BFA,OSM,10.64356,-4.76746,,,
Lycée MB,school,Burkina Faso,BFA,OSM,10.64099,-4.76462,,,
Ecole Primaire Sud,school,Burkina Faso,BFA,OSM,10.63041,-4.75838,,,
Ecole Primaire Communale,school,Burkina Faso,BFA,OSM,10.62547,-4.74869,,,
Ecole Primaire Avenir,school,Burkina Faso,BFA,OSM,10.63695,-4.75877,,,
CEBNF,school,Burkina Faso,BFA,OSM,10.62546,-4.74447,,,
Direction Regionale de l'Enseignement de Base du Centre Ouest,school,Burkina Faso,BFA,OSM,12.24933,-2.36857,,,
Ecole Primaire Tatana,school,Burkina Faso,BFA,OSM,10.64271,-4.73543,,,
Ecole Tanghin C,school,Burkina Faso,BFA,OSM,12.40093,-1.53944,,,
École de CNSS,school,Burkina Faso,BFA,OSM,12.39356,-1.5836,,,
Lycée Wendenda,school,Burkina Faso,BFA,OSM,12.39141,-1.58578,,,
École Bass-Yiré,school,Burkina Faso,BFA,OSM,12.38761,-1.58257,,,
École Tanghin Barrage A B C,school,Burkina Faso,BFA,OSM,12.39455,-1.5315,,,
École Tanghin A,school,Burkina Faso,BFA,OSM,12.40507,-1.51821,,,
École Kossodo A D,school,Burkina Faso,BFA,OSM,12.41681,-1.46848,,,
Ecole franco-arabe,school,Burkina Faso,BFA,OSM,12.40786,-1.50947,,,
Lycée Provencial de Tougan,school,Burkina Faso,BFA,OSM,13.06921,-3.07006,,,
Lycée d´excellence Nour Alanour,school,Burkina Faso,BFA,OSM,12.41583,-1.50299,,,
Complexe scolaire de l´Église Pentecôte,school,Burkina Faso,BFA,OSM,12.41294,-1.50604,,,
Ecole Somgandé B D,school,Burkina Faso,BFA,OSM,12.41242,-1.49916,,,
Ecole Somgandé A C,school,Burkina Faso,BFA,OSM,12.41121,-1.49095,,,
École Tampouy C,school,Burkina Faso,BFA,OSM,12.39211,-1.55407,,,
École Wekim Yam,school,Burkina Faso,BFA,OSM,12.3863,-1.56152,,,
"École ""Le Messager""",school,Burkina Faso,BFA,OSM,12.39446,-1.5144,,,
Université Libre du Burkina,university,Burkina Faso,BFA,OSM,12.39906,-1.50818,,,
"École ""Sabin Barrage"" A B C",school,Burkina Faso,BFA,OSM,12.39637,-1.51398,,,
FANGA e.V.,school,Burkina Faso,BFA,OSM,10.6393,-4.73197,,,
"École primaire publique Centre ""B et C""",school,Burkina Faso,BFA,OSM,10.63956,-4.75951,,,
Centre de Formation Beneb Nooma,school,Burkina Faso,BFA,OSM,12.2621,-2.38027,,,
Ecole Kiswensida,school,Burkina Faso,BFA,OSM,12.39987,-1.50807,,,
Collège Protestant,school,Burkina Faso,BFA,OSM,12.3925,-1.51865,,,
Ecole Wendenda,school,Burkina Faso,BFA,OSM,12.39617,-1.5494,,,
Lycée de Dori,school,Burkina Faso,BFA,OSM,14.02663,-0.02611,,,
Centre de Formation Saint-Camille,school,Burkina Faso,BFA,OSM,12.3659,-1.49574,,,
Complexe scolaire béniso,school,Burkina Faso,BFA,OSM,12.39686,-1.53937,,,
Centre de Formation Professionnelle Religieuse,college,Burkina Faso,BFA,OSM,12.36014,-1.53542,,,
École Mixte St-Joseph,school,Burkina Faso,BFA,OSM,12.34846,-1.49808,,,
Goumba Lankoundé,school,Burkina Faso,BFA,OSM,12.34453,-1.50031,,,
École Faso Baara,school,Burkina Faso,BFA,OSM,12.33893,-1.50421,,,
Grand Seminaire St Jean,university,Burkina Faso,BFA,OSM,12.40914,-1.55042,,,
2iE,university,Burkina Faso,BFA,OSM,12.45952,-1.55688,,,
Séminaire de Pabré,school,Burkina Faso,BFA,OSM,12.51051,-1.57726,,,
Ecole privée apostolique,school,Burkina Faso,BFA,OSM,12.39268,-1.53642,,,
Instutit Africain de Management (IAM),college,Burkina Faso,BFA,OSM,12.32697,-1.50201,,,
École primaire Nanoro B,school,Burkina Faso,BFA,OSM,12.67892,-2.16831,,,
École primaire de Zoetgomdé,school,Burkina Faso,BFA,OSM,12.55354,-2.20289,,,
École primaire de Gognam,school,Burkina Faso,BFA,OSM,12.68481,-2.11284,,,
École primaire de Basziri,school,Burkina Faso,BFA,OSM,12.65701,-2.21434,,,
École primaire Nazoanga C,school,Burkina Faso,BFA,OSM,12.60573,-2.11212,,,
École primaire de Kalkawa,school,Burkina Faso,BFA,OSM,12.56593,-2.17696,,,
École primaire de Goghin,school,Burkina Faso,BFA,OSM,12.50997,-2.17719,,,
École primaire de Bissiguin,school,Burkina Faso,BFA,OSM,12.56912,-2.02744,,,
École primaire de Tendamtoèga,school,Burkina Faso,BFA,OSM,12.54282,-2.02255,,,
Lycée de Soaw,school,Burkina Faso,BFA,OSM,12.51672,-2.17609,,,
École primaire de Sarana,school,Burkina Faso,BFA,OSM,12.58839,-2.09234,,,
Lycée départemental de Nanoro,school,Burkina Faso,BFA,OSM,12.68351,-2.19572,,,
École primaire Nanoro C,school,Burkina Faso,BFA,OSM,12.69279,-2.18711,,,
Centre St Philippe de Koupéla,school,Burkina Faso,BFA,OSM,12.16418,-0.36446,,,
École primaire de Soum,school,Burkina Faso,BFA,OSM,12.59591,-2.29635,,,
École maternelle de Nanoro,school,Burkina Faso,BFA,OSM,12.69366,-2.18662,,,
École primaire de Koayiri,school,Burkina Faso,BFA,OSM,12.56645,-2.05261,,,
École primaire de Kandaga,school,Burkina Faso,BFA,OSM,12.58843,-2.00399,,,
École primaire Goala A,school,Burkina Faso,BFA,OSM,12.56218,-2.09391,,,
École primaire de Kirguilounga,school,Burkina Faso,BFA,OSM,12.61231,-2.0538,,,
École primaire de Godo Pella,school,Burkina Faso,BFA,OSM,12.617,-1.98893,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.3548,-1.48155,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35423,-1.48199,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35423,-1.48221,,,
Ecole du château,school,Burkina Faso,BFA,OSM,12.35407,-1.48203,,,
École primaire de Poesse,school,Burkina Faso,BFA,OSM,12.55692,-2.11404,,,
École primaire de Tanglongo,school,Burkina Faso,BFA,OSM,12.52964,-2.19016,,,
École primaire de Mogdin,school,Burkina Faso,BFA,OSM,12.57561,-2.23665,,,
École Primaire Saint Jean-Baptiste,school,Burkina Faso,BFA,OSM,12.69197,-2.19995,,,
École primaire de Zikiemdin,school,Burkina Faso,BFA,OSM,12.46181,-2.19109,,,
École primaire de Zag Yiri,school,Burkina Faso,BFA,OSM,12.49817,-2.13917,,,
CEG Séguédin Nanoro,school,Burkina Faso,BFA,OSM,12.67898,-2.02132,,,
CEG de Poesse,school,Burkina Faso,BFA,OSM,12.54652,-2.11346,,,
École primaire de Tilla,school,Burkina Faso,BFA,OSM,12.53589,-2.12719,,,
École primaire de Toessin,school,Burkina Faso,BFA,OSM,12.57525,-2.15382,,,
École primaire Nazoanga A,school,Burkina Faso,BFA,OSM,12.62298,-2.12995,,,
CEG de Nazoanga,school,Burkina Faso,BFA,OSM,12.60349,-2.15164,,,
École primaire de Goulouré,school,Burkina Faso,BFA,OSM,12.64726,-2.23748,,,
École primaire de Kokolo,school,Burkina Faso,BFA,OSM,12.60781,-2.20791,,,
École primaire Nazoanga D,school,Burkina Faso,BFA,OSM,12.60341,-2.17482,,,
École primaire Nanoro A,school,Burkina Faso,BFA,OSM,12.68755,-2.19514,,,
École primaire de Poessi,school,Burkina Faso,BFA,OSM,12.68485,-2.13243,,,
École primaire Pella B,school,Burkina Faso,BFA,OSM,12.58385,-2.05443,,,
Lycée Nicolas Perrin,school,Burkina Faso,BFA,OSM,12.65355,-2.07908,,,
Ecole Nationale de Santé Publique (ENSP),school,Burkina Faso,BFA,OSM,12.25604,-2.36723,,,
ecoleprimaire de kera,school,Burkina Faso,BFA,OSM,12.69459,-2.72341,,,
"École Primaire ""Nelson Mandela""",school,Burkina Faso,BFA,OSM,12.33437,-1.55243,,,
Lycée LTPAD,school,Burkina Faso,BFA,OSM,12.32825,-1.55309,,,
Institut Supérieur Privé de Management,university,Burkina Faso,BFA,OSM,12.357,-1.49244,,,
École Catholique,school,Burkina Faso,BFA,OSM,13.07398,-3.06534,,,
Lycée communal de Tougan,school,Burkina Faso,BFA,OSM,13.07487,-3.08331,,,
Ecole Primaire Privée Protestante,school,Burkina Faso,BFA,OSM,12.2581,-2.34224,,,
les lauréats,school,Burkina Faso,BFA,OSM,12.30517,-1.51477,,,
Lycée de Pella,school,Burkina Faso,BFA,OSM,12.58209,-2.04074,,,
École primaire de Godo,school,Burkina Faso,BFA,OSM,12.7291,-2.15136,,,
École primaire de Zimidin,school,Burkina Faso,BFA,OSM,12.6498,-2.16213,,,
École primaire de Dacissé,school,Burkina Faso,BFA,OSM,12.65257,-2.29581,,,
École primaire de Boulpon,school,Burkina Faso,BFA,OSM,12.65349,-2.0721,,,
École primaire de Sitaon,school,Burkina Faso,BFA,OSM,12.64259,-2.10559,,,
École primaire de Soala,school,Burkina Faso,BFA,OSM,12.66529,-1.96783,,,
École primaire de Babouli,school,Burkina Faso,BFA,OSM,12.63813,-2.00956,,,
École primaire Séguédin A,school,Burkina Faso,BFA,OSM,12.6861,-2.02108,,,
Lycée départemental,school,Burkina Faso,BFA,OSM,13.39488,-2.58654,,,
Centre d'alphabétisation,school,Burkina Faso,BFA,OSM,12.3827,-0.6036,,,
Ecole primaire A,school,Burkina Faso,BFA,OSM,12.57454,-3.96574,,,
CEG de Goni,school,Burkina Faso,BFA,OSM,12.57099,-3.97019,,,
CEG de Goni,school,Burkina Faso,BFA,OSM,12.57032,-3.97027,,,
CEG de Goni,school,Burkina Faso,BFA,OSM,12.57084,-3.97059,,,
Ecole primaire de Sikoro,school,Burkina Faso,BFA,OSM,12.62549,-3.7787,,,
Lycée provincial de Yako,school,Burkina Faso,BFA,OSM,12.95975,-2.27595,,,
Gueswindé,school,Burkina Faso,BFA,OSM,12.32836,-1.55496,,,
